precision,recall,threshold
0.6086165048543689,1.0,0.00037389601836369395
0.6089860352155434,1.0,0.0003831189568626302
0.6093560145808019,1.0,0.0003890536749635204
0.6100973236009732,1.0,0.0003899682719311233
0.6104686548995739,1.0,0.0003965699687341172
0.6108404384896468,1.0,0.000400870436152571
0.61121267519805,1.0,0.00040253934812262257
0.6115853658536585,1.0,0.0004071872837704175
0.6119585112873703,1.0,0.000423000900581609
0.6123321123321124,1.0,0.00045457002998881753
0.6127061698228466,1.0,0.00045796039487251217
0.613080684596577,1.0,0.0005105139984879738
0.6134556574923548,1.0,0.000558284307798874
0.6138310893512852,1.0,0.0005587379384268975
0.614206981016534,1.0,0.0005656864122810771
0.6149601471489884,1.0,0.0005901818607222966
0.6153374233128834,1.0,0.0005920826828409539
0.6157151626764886,1.0,0.0006178558912434275
0.6160933660933661,1.0,0.0006208574651982965
0.6164720344191764,1.0,0.0006601869759273836
0.6168511685116851,1.0,0.0007000756828780526
0.6172307692307692,1.0,0.0007218961951457674
0.6179913739987677,1.0,0.0007273370342149249
0.6183723797780518,1.0,0.0007278309132466575
0.6187538556446638,1.0,0.0007382294144991209
0.6191358024691358,1.0,0.0007590778044722029
0.6195182211241507,1.0,0.000821067307250757
0.6202844774273346,1.0,0.000909120253709
0.6206683168316832,1.0,0.0009527278751265284
0.6210526315789474,1.0,0.0009716716082124578
0.6214374225526642,1.0,0.0009720134328736245
0.6218226906385617,1.0,0.0009925403606013705
0.6222084367245657,1.0,0.0010023052672536608
0.6225946617008069,1.0,0.0010230664829452346
0.6229813664596273,1.0,0.00103387892168709
0.6233685518955874,1.0,0.0010342204603419765
0.6237562189054726,1.0,0.001034770301181716
0.6241443683883012,1.0,0.0010816257990389772
0.6245330012453301,1.0,0.001092072428545984
0.6249221183800623,1.0,0.0011035457888224453
0.6253117206982544,1.0,0.0011364559667852272
0.6257018091079226,1.0,0.0011389857228424117
0.6260923845193508,1.0,0.0011602427534522573
0.6264834478450968,1.0,0.0011669843524000968
0.626875,1.0,0.001172869076745863
0.6272670419011882,1.0,0.001173896018363694
0.6276595744680851,1.0,0.0011802023011466887
0.628052598622417,1.0,0.0011806698298193455
0.6284461152882206,1.0,0.0011842412106591283
0.6288401253918495,1.0,0.0012111969556972667
0.6292346298619824,1.0,0.0012292964620988318
0.6296296296296297,1.0,0.001351525824775397
0.6300251256281407,1.0,0.0013583751398438901
0.6304211187932118,1.0,0.0013649128428739302
0.630817610062893,1.0,0.0013692773040653377
0.631214600377596,1.0,0.0013743266614746172
0.6316120906801007,1.0,0.0013752120221662278
0.632010081915564,1.0,0.0013768692933107665
0.6324085750315258,1.0,0.0013819614763819598
0.632807570977918,1.0,0.001388562861812434
0.6332070707070707,1.0,0.0013937782375710106
0.6336070751737208,1.0,0.001394687840166135
0.634007585335019,1.0,0.001423139040483544
0.6344086021505376,1.0,0.0014245600833744378
0.6348101265822785,1.0,0.0014680420721410563
0.6352121595946801,1.0,0.001510513998487974
0.6356147021546261,1.0,0.0015126732566468314
0.6360177552314521,1.0,0.0015241272095429539
0.6372299872935197,1.0,0.0015268998647195852
0.6376350921805467,1.0,0.00158108626064918
0.6380407124681934,1.0,0.0015811485135128762
0.6384468491406747,1.0,0.0016194562628258208
0.6388535031847133,1.0,0.0016383929575292829
0.6392606755895475,1.0,0.001660062361915469
0.6396683673469388,1.0,0.0016864393192416892
0.6400765794511806,1.0,0.0017416117330347925
0.640485312899106,1.0,0.0017637146080554391
0.6408945686900959,1.0,0.0017833155619468612
0.6413043478260869,1.0,0.001786303675797365
0.6417146513115803,1.0,0.001824789827059632
0.6421254801536491,1.0,0.0018649473530782078
0.6425368353619475,1.0,0.001877430359328534
0.642948717948718,1.0,0.0019125517350237272
0.6433611289288005,1.0,0.0019355119313877742
0.6437740693196405,1.0,0.001958461513250806
0.6441875401412974,1.0,0.0019626109499748983
0.6446015424164524,1.0,0.001981497997783318
0.645016077170418,1.0,0.0020297032001365127
0.6454311454311454,1.0,0.0020359439707320045
0.6458467482292337,1.0,0.0020360223154603676
0.6462628865979382,1.0,0.0020412483011270524
0.6466795615731786,1.0,0.0020426934249477367
0.6470967741935484,1.0,0.002050907877325795
0.6475145255003227,1.0,0.002069288815518454
0.6479328165374677,1.0,0.0020729575563281813
0.6483516483516484,1.0,0.002123476356278726
0.648771021992238,1.0,0.002128129970121285
0.6491909385113268,1.0,0.0023100672032109466
0.6496113989637305,1.0,0.0023651968989230818
0.6500324044069994,1.0,0.0023915764879370287
0.6504539559014267,1.0,0.002413036533469846
0.6508760545100584,1.0,0.0024790059263670133
0.6512987012987013,1.0,0.0024864393192416895
0.6521456436931079,1.0,0.0024935786253072667
0.6525699414443722,1.0,0.002569523619987963
0.6529947916666666,1.0,0.002635513998487974
0.6534201954397394,1.0,0.0026463811068715894
0.6538461538461539,1.0,0.002715294809715293
0.6542726679712981,1.0,0.002726430397318323
0.6546997389033943,1.0,0.002736710711996476
0.6551273677335075,1.0,0.0028061395063394335
0.6555555555555556,1.0,0.002848588540191225
0.6559843034663179,1.0,0.0028682283284541515
0.6564136125654451,1.0,0.0028750605985194844
0.6568434839554682,1.0,0.0029278283877071393
0.6572739187418086,1.0,0.002958984585254292
0.6577049180327869,1.0,0.0029772536905337313
0.6581364829396326,1.0,0.003034228166734401
0.6585686145764937,1.0,0.0030359439707320045
