fpr,tpr,threshold
0.043664996420901936,0.9780658025922233,0.4778711084308387
0.043664996420901936,0.9790628115653041,0.4702032845438845
0.04438081603435934,0.9790628115653041,0.46820314102770894
0.04438081603435934,0.9800598205383848,0.463941812625038
0.04509663564781675,0.9800598205383848,0.46388749728541495
0.04509663564781675,0.9810568295114656,0.46368607913657345
0.04581245526127416,0.9810568295114656,0.4601802400645018
0.04581245526127416,0.9820538384845464,0.45838820499192706
0.049391553328561204,0.9820538384845464,0.44330330398174567
0.049391553328561204,0.9830508474576272,0.43944267933704956
0.052254831782390834,0.9830508474576272,0.4076447717625327
0.052254831782390834,0.9850448654037887,0.40363944034504834
0.05368647100930565,0.9850448654037887,0.40118037872117035
0.05368647100930565,0.9860418743768694,0.4011698029104987
0.05511811023622047,0.9860418743768694,0.3966335618397787
0.05511811023622047,0.9870388833499502,0.39441958487286777
0.05583392984967788,0.9870388833499502,0.39043113507336047
0.05583392984967788,0.9880358923230309,0.3878877138522818
0.0572655690765927,0.9880358923230309,0.36931073985647833
0.0572655690765927,0.9890329012961117,0.36569317190569334
0.06299212598425197,0.9890329012961117,0.3413508812592289
0.06299212598425197,0.9900299102691924,0.3273404191392503
0.06442376521116679,0.9900299102691924,0.3238769941001667
0.06442376521116679,0.9910269192422732,0.3235484579531931
0.06657122405153901,0.9910269192422732,0.30787577582867715
0.06657122405153901,0.9920239282153539,0.3070052903871084
0.07015032211882606,0.9920239282153539,0.28466608984497077
0.07015032211882606,0.9930209371884346,0.28180318064236837
0.08017179670722978,0.9930209371884346,0.25156067053086784
0.08017179670722978,0.9950149551345963,0.2463202626235591
0.09162491052254831,0.9950149551345963,0.2254140213041891
0.09162491052254831,0.9970089730807578,0.22497437673139353
0.09806728704366499,0.9970089730807578,0.21625977565262042
0.09806728704366499,0.9980059820538385,0.21208137743572023
0.14960629921259844,0.9980059820538385,0.1067884286265727
0.14960629921259844,0.9990029910269193,0.104780257261218
0.16750178954903364,0.9990029910269193,0.08308759974807996
0.16750178954903364,1.0,0.08176321016419455
0.35576234788833216,1.0,0.004008104888445781
0.35719398711524697,1.0,0.003977922095335274
0.3700787401574803,1.0,0.0030662099103478564
0.37151037938439513,1.0,0.0030425237129570256
0.3829634931997137,1.0,0.0024935786253072667
0.3843951324266285,1.0,0.0024864393192416895
0.4087329992841804,1.0,0.0015268998647195852
0.4108804581245526,1.0,0.0015241272095429539
0.43951324266284897,1.0,0.000909120253709
0.4409448818897638,1.0,0.000821067307250757
0.44380816034359344,1.0,0.0007273370342149249
